,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
985,20,9,13,0,0,0,0,0,1,1,1,2,2,2,2,6,6,8,8,11,13,13,13,13
986,20,11,129,0,0,1,1,1,1,1,1,3,4,5,5,85,110,112,119,129,129,129,129,129
987,20,14,28,0,3,3,3,3,3,3,3,4,7,9,9,10,12,13,13,14,28,28,28,28
988,20,15,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,9,9,9,9
989,20,16,25,0,0,1,1,1,1,1,1,1,1,1,1,20,25,25,25,25,25,25,25,25
990,20,18,16,0,1,1,1,1,1,1,1,2,12,12,12,13,13,13,13,13,16,16,16,16
991,20,19,26,0,6,7,7,7,7,7,7,8,10,10,10,20,21,26,26,26,26,26,26,26
992,20,21,143,0,1,1,1,1,1,1,1,3,9,9,9,23,24,30,93,132,143,143,143,143
993,20,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14,16,16,16,16
994,20,23,1410,0,54,54,54,54,54,54,54,56,191,194,194,623,735,807,1036,1140,1393,1407,1410,1410
995,20,24,819,0,3,3,3,3,3,3,3,10,120,129,129,330,444,494,547,695,819,819,819,819
996,20,25,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3
997,20,27,15,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,12,15,15,15,15
998,20,28,9,0,2,2,2,2,2,2,2,2,3,3,3,8,8,8,9,9,9,9,9,9
999,20,29,15,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,7,14,15,15,15
1000,20,30,2930,0,315,487,493,493,493,493,584,684,1348,1413,1413,1413,1459,1629,1915,2337,2894,2927,2930,2930
1001,20,31,539,0,0,0,0,0,0,0,0,0,0,0,0,91,153,209,363,444,538,539,539,539
1002,20,32,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1003,20,33,1928,0,0,16,17,17,17,17,17,67,265,285,285,728,885,1014,1207,1632,1928,1928,1928,1928
1004,20,34,196,0,12,13,13,13,13,13,13,14,14,19,19,46,50,98,123,168,196,196,196,196
1005,20,35,30,0,0,0,0,0,0,0,0,0,11,11,11,15,19,19,25,30,30,30,30,30
1006,20,36,1396,0,51,97,97,97,97,97,97,136,595,621,621,980,995,1118,1233,1346,1396,1396,1396,1396
1007,20,37,15,0,0,0,0,0,0,0,0,0,4,4,4,9,9,10,11,12,15,15,15,15
1008,20,38,6,0,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6
1009,20,40,18,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,7,18,18,18,18
1010,20,42,2878,0,154,203,204,204,204,204,381,460,460,480,480,1018,1288,1536,1725,2280,2831,2865,2878,2878
1011,20,43,90,0,0,0,0,0,0,0,0,0,0,0,0,13,18,34,55,69,84,90,90,90
1012,20,44,1826,0,69,72,73,73,73,73,100,115,524,524,524,839,979,1005,1215,1664,1819,1819,1826,1826
1013,20,45,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,7,7,7,7,7
1014,20,46,256,0,3,5,5,5,5,5,5,17,92,94,94,139,145,170,185,206,256,256,256,256
