pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
36,TYPEf-TYPEb,0.6875,1.0000,0.7812,0.7500,0.7188,0.5938,0.8125,0.5000,1.0312,0.9688,1.0000,1.0625,1.1250,0.5312,0.5625,0.5938,0.5625,0.5000,0.0000,0.0000,13.7812
37,TYPEf-TYPEc,0.0417,0.3802,0.3229,0.5052,0.2552,0.2344,0.2812,0.0885,0.3021,0.3281,0.4219,0.3906,0.5885,0.5000,0.4167,0.4323,0.4740,0.3229,0.0833,0.0469,6.4167
38,TYPEf-TYPEd,0.1781,0.8219,0.7281,0.7750,0.4437,0.3594,0.3781,0.1219,0.4813,0.5031,0.5031,0.4719,0.7531,0.6281,0.7594,0.6875,0.6281,0.4813,0.2156,0.1406,10.0594
39,TYPEf-TYPEe,0.1016,0.4766,0.4896,0.5130,0.2422,0.2083,0.1901,0.0729,0.2578,0.2161,0.3672,0.3932,0.5911,0.4245,0.5677,0.5573,0.4922,0.3880,0.1562,0.0573,6.7630
40,TYPEf-TYPEf,0.1289,0.6113,0.4434,0.4824,0.2734,0.2773,0.2852,0.1230,0.4219,0.4590,0.6035,0.5078,0.7188,0.6465,0.6602,0.7031,0.6719,0.5039,0.1914,0.0605,8.7734
41,TYPEf-TYPEg,0.1193,0.6733,0.5455,0.5938,0.3778,0.3580,0.4091,0.1392,0.5682,0.4318,0.4801,0.4318,0.5511,0.3636,0.6307,0.7159,0.7131,0.6506,0.2358,0.1080,9.0966
42,TYPEg-TYPEa,0.0909,0.5455,1.1818,1.1818,1.2727,1.0000,1.0909,0.3636,1.5455,0.7273,0.5455,0.6364,0.9091,0.9091,0.9091,1.3636,1.1818,0.7273,0.5455,0.2727,17.0000
43,TYPEg-TYPEb,0.6364,1.0000,0.7273,0.3636,0.7273,0.5455,0.7273,0.6364,1.0909,0.8182,0.9091,0.5455,0.5455,0.2727,0.3636,0.4545,0.6364,0.6364,0.0000,0.0000,11.6364
44,TYPEg-TYPEc,0.0758,0.2879,0.2879,0.5152,0.4545,0.3030,0.5000,0.1212,0.5303,0.3788,0.3333,0.3485,0.4848,0.3182,0.3333,0.5000,0.4394,0.4242,0.1667,0.0606,6.8636
45,TYPEg-TYPEd,0.1636,0.8091,0.7273,0.8727,0.6273,0.5636,0.6273,0.2091,0.8273,0.5727,0.4182,0.3545,0.6636,0.4273,0.7091,0.6636,0.6455,0.4545,0.2182,0.1455,10.7000
46,TYPEg-TYPEe,0.1061,0.4773,0.5833,0.5758,0.3636,0.2727,0.3030,0.1136,0.4318,0.2955,0.2955,0.3106,0.4924,0.2652,0.5682,0.6136,0.5909,0.5000,0.1591,0.0455,7.3636
47,TYPEg-TYPEf,0.1193,0.6733,0.5455,0.5938,0.3778,0.3580,0.4091,0.1392,0.5682,0.4318,0.4801,0.4318,0.5511,0.3636,0.6307,0.7159,0.7131,0.6506,0.2358,0.1080,9.0966
48,TYPEg-TYPEg,0.0992,0.6777,0.7107,0.5124,0.4628,0.4793,0.6446,0.2645,0.7769,0.4463,0.2975,0.2645,0.3636,0.2314,0.5124,0.6777,0.6942,0.7769,0.3140,0.2645,9.4711
