pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
81,TYPEh-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,TYPEh-TYPEf,0.0750,0.3125,0.1875,0.3250,0.1875,0.0750,0.1625,0.0000,0.4625,0.2000,0.4625,0.4375,0.5625,0.3250,0.3375,0.5250,0.5625,0.5875,0.0750,0.0625,5.9250
83,TYPEh-TYPEg,0.1200,0.4000,0.2000,0.3200,0.0400,0.0000,0.0400,0.0800,0.2800,0.2400,0.6800,0.6000,0.6400,0.4800,0.6000,0.6800,0.7200,0.7200,0.2000,0.0400,7.0800
84,TYPEh-TYPEh,0.0000,0.0000,0.0800,0.2400,0.1600,0.0000,0.0800,0.0800,0.3200,0.0800,0.4000,0.4000,0.3200,0.0800,0.1600,0.5600,0.3200,0.2400,0.0000,0.0800,3.6000
85,TYPEh-TYPEi,0.0000,0.4000,0.3000,0.8000,0.3000,0.0000,0.0000,0.0000,0.1000,0.3000,0.6000,0.6000,0.2000,0.1000,0.2000,0.7000,0.6000,0.5000,0.0000,0.1000,5.8000
86,TYPEh-TYPEj,0.1000,0.3000,0.6000,0.8000,0.6500,0.2500,0.6500,0.4000,0.9000,0.5000,0.5500,0.8000,1.0500,0.6500,0.6000,1.2500,1.0500,1.1000,0.4500,0.2000,12.8500
87,TYPEh-TYPEk,0.1750,0.4750,0.3250,0.3000,0.2000,0.1250,0.2750,0.0250,0.4500,0.2000,0.7500,0.6250,0.6500,0.2500,0.2750,0.4250,0.4250,0.3500,0.1250,0.0500,6.4750
88,TYPEi-TYPEa,0.0667,0.6333,0.3333,0.5667,0.2000,0.0667,0.0667,0.0333,0.0333,0.1667,0.2000,0.1667,0.1000,0.1000,0.3333,0.5667,0.3000,0.1667,0.0667,0.0667,4.2333
89,TYPEi-TYPEb,0.0263,0.3684,0.4211,0.3684,0.1579,0.1316,0.0789,0.0526,0.1842,0.2895,0.3947,0.2632,0.1842,0.2632,0.3947,0.7368,0.5526,0.3421,0.2105,0.1316,5.5526
90,TYPEi-TYPEc,0.0000,0.1000,0.3000,0.5000,0.2000,0.2000,0.0000,0.2000,0.2000,0.3000,0.4000,0.7000,0.2000,0.3000,0.5000,0.9000,0.6000,0.5000,0.5000,0.2000,6.8000
91,TYPEi-TYPEd,0.0000,0.3750,0.6250,0.7500,0.3750,0.1250,0.1250,0.1250,0.3750,0.2500,0.6250,0.3750,0.3750,0.3750,0.7500,0.7500,0.6250,0.2500,0.0000,0.1250,7.3750
92,TYPEi-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,TYPEi-TYPEf,0.1250,0.4688,0.4375,0.6875,0.2812,0.1250,0.1562,0.0312,0.1562,0.2812,0.4062,0.5000,0.2812,0.4062,0.6562,0.9688,0.6562,0.5938,0.2812,0.1562,7.6562
94,TYPEi-TYPEg,0.1000,0.7000,0.8000,0.5000,0.2000,0.2000,0.1000,0.2000,0.4000,0.3000,0.6000,0.7000,0.4000,0.7000,0.9000,1.3000,1.1000,0.9000,0.6000,0.5000,11.2000
95,TYPEi-TYPEh,0.0000,0.4000,0.3000,0.8000,0.3000,0.0000,0.0000,0.0000,0.1000,0.3000,0.6000,0.6000,0.2000,0.1000,0.2000,0.7000,0.6000,0.5000,0.0000,0.1000,5.8000
96,TYPEi-TYPEi,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5000
97,TYPEi-TYPEj,0.1250,0.5000,0.6250,1.0000,0.5000,0.0000,0.0000,0.0000,0.1250,0.2500,0.5000,0.7500,0.3750,0.3750,0.8750,1.5000,0.8750,0.7500,0.2500,0.0000,9.3750
98,TYPEi-TYPEk,0.2500,0.8125,0.3125,0.4375,0.1250,0.0000,0.0000,0.0625,0.0625,0.0625,0.2500,0.1875,0.4375,0.2500,0.2500,0.5000,0.1875,0.2500,0.0625,0.0625,4.5625
99,TYPEj-TYPEa,0.0667,0.5167,0.7833,0.8333,0.7667,0.5500,0.6333,0.2000,0.7500,0.4333,0.3500,0.4333,0.7500,0.4500,0.6167,0.6500,0.5667,0.3833,0.2833,0.1667,10.1833
100,TYPEj-TYPEb,0.0526,0.4211,0.6447,0.7237,0.5658,0.3289,0.5526,0.1184,0.5263,0.6579,0.5526,0.6053,0.8553,0.6184,0.8421,0.8947,0.7763,0.7237,0.3816,0.1447,10.9868
101,TYPEj-TYPEc,0.0000,0.3500,0.6000,0.7500,0.4500,0.1500,0.1500,0.0500,0.3000,0.4000,0.4000,0.3500,1.0500,0.6500,0.9500,1.1500,1.1000,0.8500,0.7500,0.3500,10.8000
102,TYPEj-TYPEd,0.0000,0.3750,0.2500,0.4375,0.2500,0.1250,0.1250,0.0000,0.2500,0.1875,0.2500,0.3125,0.6875,0.6875,0.8125,0.8750,0.6875,0.4375,0.0000,0.0625,6.8125
103,TYPEj-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
